初歩	しょほ	cơ bản, cơ sở (khóa học, học hành,...) = 基礎 - きそ
初期	しょき	thời kì đầu (thời gian)
最寄り	もより	gần nhất (địa điểm)
確保	かくほ	đảm bảo (an toàn, học tập,...)
引退	いんたい	giải nghệ, rút lui (dành cho cầu thủ, nghệ sĩ,...)
注目 = 感心		chú ý, quan tâm (tới việc)
用途	ようと	công dụng (của đồ vật)
本来	ほんらい	vốn dĩ (ban đầu)
敏感	びんかん	mẫn cảm (với thông tin, dị ứng)
保存	ほぞん	lưu, bảo quản (file, đồ ăn)
油断	ゆだん	cẩu thả, lơ đểnh, mất cảnh giác (với ng 2 mặt, xem thường đối thủ)
分担	ぶんたん	phân chia (công việc)
役目	やくめ	vai trò (không rõ ràng, vai trò chung chung, bổn phận của người mẹ, sếp)
役割	やくわり	vai trò (cụ thể, công việc rõ ràng, ai làm cái gì)
同感	同感	đồng tình (với việc nào đó)
同情	どうじょう	đồng cảm (cảm xúc)
転勤	てんきん	chuyển công tác
栽培	さいばい	trồng (cây, thực vật)
思わぬ	おもわぬ	không ngờ tới (ぬ = ない)
素材	そざい	nguyên vật liệu (hương vật liệu vốn có, thực phẩm)
充満	じゅうまん	tràn đầy (khói, mùi,...)
信頼	しんらい	tin cậy (chỉ cảm tính)
信用	しんよう	tin cậy (có cơ sở tin tưởng, tín dụng ngân hàng)
尊重	そんちょう	tôn trọng (ý kiến, công việc, thứ có giá trị)
尊敬	そんけい	tôn kính (với người trên)
欠陥	けっかん	lỗi, thiếu sót (của sản phẩm)
評価	ひょうか	đánh giá (が高い、が低い、をつける)
評判	ひょうばん	đánh giá (が良い、が悪い)
非難	ひなん	chỉ trích (con người, xã hội)
批評		ひひょう nhà phê bình (批評家)
増大	ぞうだい	tăng lên (với quy mô rất lớn, tăng về cảm giác)
増加	ぞうか	tăng (quy mô ít hay nhiều đều được, có thể đếm được)
上昇	じょうしょう	tăng lên (giá, khí, nhiệt độ, máy bay)
上達	じょうたつ	tiến bộ (chỉ trong học tập)
進歩	しんぽ	tiến bộ (trong nhiều mục đích chung, khoa học, xã hội,...)
進捗	しんちょく	tiến độ công việc
削除	さくじょ	xóa (file, dữ liệu)
整備	せいび	bảo dưỡng (phương tiện di chuyển lớn)
点検	てんけん	kiểm tra (phạm vi rộng, xe, thang máy, tòa nhà,...)
視線	しせん	ánh nhìn (を浴びる thu hút ánh nhìn)
才能	さいのう	tài năng (才能が豊かだ)
効用	こうよう	hiệu dụng (công dụng thuốc)
効力	こうりょく	hiệu lực (dùng trong hợp đồng, giấy phép,...)
改造	かいぞう	cải tạo, tân trang (nhà, xe)
転換	てんかん	chuyển đổi (気分転換 - chuyển đổi tâm trạng, 方向転換 - chuyển làn xe)
展開	てんかい	diễn biến (phim ảnh, manga,...), triển khai, mở rộng (thị trường)
見た目	みため	vẻ ngoài (thường dùng cho đồ ăn)
格好	かっこう	vẻ ngoài (cách ăn mặc)
容姿	ようし	vẻ ngoài, phong thái (cách ăn mặc bên ngoài, có thể dùng với đồ vật, nhấn mạnh về khuôn mặt thường dùng cho nữ)
様子	ようす	bộ dạng (phạm vi rộng, có thể dùng cho trạng thái con người, thời tiết)
姿	すがた	bóng người (có bóng người, nói về sự tồn tại của 1 ng, diện mạo bên ngoài)
普及	ふきゅう	phổ cập (1 sản phẩm, dịch vụ phổ biến)
でこぼこ		lồi lõm (đường)
にこにこ		cười mỉm (=にこり đọc nghe như にっこり)
くっきり		cực kì rõ
ざっと		(làm 1 việc) lướt nhanh, xem sơ qua
取材	しゅざい	phỏng vấn (phóng viên lấy tin)
範囲	はんい	phạm vi (phạm vi rộng)
体格	たいかく	vóc dáng (rắn chắc, thường đi với がっしり - rắn chắc)
外見	がいけん	nhấn mạnh về vẻ bên ngoài (nghịch với bên trong của con người)
合図	あいず	tín hiệu (ra hiệu, ra dấu, hành động của con người, thường liên quan đến thể thao)
注目		chú ý (1 việc gì đó thu hút sự chú ý của dư luận, thường là thể bị động) 注目を浴びる、集める
吸収		hấp thu (dinh dưỡng, nước), hấp thu (kinh nghiệm, bí quyết)
性能	せいのう	tính năng (hiệu suất, chất lượng hoạt động 高性能 - hiệu suất cao)
機能	きのう	chức năng (chức năng máy móc)
予報	よほう	dự báo (dựa vào dữ liệu, phân tích)
対比	たいひ	so sánh (sự đối lập, tương phản)
比較	ひかく	so sánh (của 2 hoặc nhiều vật thể)
比べる	くらべる	so sánh (dùng trong tất cả trường hợp)
伝染	でんせん	truyền nhiễm, lây truyền (bệnh tật, tính cách)
選出	せんしゅつ	chọn ra (sát hạch kĩ lưỡng)
先端	せんたん	tiên tiến, mũi nhọn (công nghệ, trào lưu)
中途半端	ちゅうとはんぱ	nửa vời, làm lưng chừng, hiểu nửa vời
専属	せんぞく	độc quyền (chuyên ngành)
区分	くぶん	phân chia (lãnh thổ, khu vực)
分割	ぶんわり	phân chia (bị chia theo ranh giới)
移行	いこう	di chuyển (file, data, content,...)
養成	ようせい	đào tạo (thường dùng trong công việc)
育成	いくせい	chăm sóc (nuôi dưỡng con người)
考慮	こうりょ	xem xét, suy tính (sự tình, vấn đề, cân nhắc dựa trên nhiều yếu tố)
検討	けんとう	xem xét (cân nhắc để ra quyết định)
定着	ていちゃく	định hình, ổn định vững chắc (1 điều mới trở thành điều hiển nhiên)
判断	はんだん	phán đoán, đánh giá
凸凹	でこぼこ	lồi lỏm (văn nói)
凹凸	おうとつ	lồi lõm (văn viết)
指摘	してき	chỉ ra (vấn đề, lỗi sai)
決勝戦	けっしょうせん	chung kết
準々決勝	じゅんじゅんけっしょう	tứ kết
活気	かっき	náo nhiệt (dùng cho thành phố, đất nước)
活発	かっぱつ	náo nhiệt, sôi nổi (Dùng cho người)
放映	ほうえい	phát sóng
採用	さいよう	tuyển dụng (người, ý kiến)
雇用	こよう	tuyển dụng (chỉ đi với người)
進出	しんしゅつ	tiến lên, vươn ra (dùng cho doanh nghiệp, tiến ra quốc tế)
拡大	かくだい	zoom in, phóng to, khuếch đại
縮小	しゅくしょ	zoom out (không thay đổi diện tích)
拡張	かくちょう	mở rộng (có thay đổi diện tích)
区切り	くぎり	phân chia (chia theo mốc dấu chấm, dấu phẩy, hiệp đấu)
保障	ほしょう	bảo đảm (bảo chứng khi xảy ra thương tật, thương vong, đảm bảo quyền lợi con người)
補償	ほしょう	bồi thường
恐れ入る	おそれいる	xin lỗi (dùng trong doanh nghiệp, kính ngữ) = すみません
折り返し	おりかえす	gọi lại sau, quay trở lại = あとで
前後	ぜんご	trước sau
お手元	おてもと	có sẵn trên tay = 持っている
ご覧ください		xem
改めて	あらためて	cải thiện lại, làm lại  = もう一度
早々	そうそう	làm nhanh = すぐ
まこと		thành thật = 本当
その件は		sự việc đó = それについて
おいでになります		đến = きま
承ります	うけたまわります	khiêm nhường của 受ける
素直な	すなおな	người thật thà
たっぷり		đầy đủ (=十分)
収納	しゅうのう	cất (vào kho = しまう)
導入	どうにゅう	đưa vào (sử dụng), dẫn nhập
納得	なっとく	hiểu rõ (vấn đề)
分配	ぶんぱい	phân chia (lợi ích)
状況	じょうきょう	tình hình, bối cảnh (công việc, 1 việc chung)
いたずら		nghịch ngợm (chỉ dùng cho con nít)
対等	たいとう	tương dương, ngang bằng (không có sự khác biệt)
平等	びょうどう	bình đẵng (con người đều bình đẵng, giới tính)
平均	へいきん	trung bình
改訂	かいてい	cải chính, sửa đổi (sách, pháp luật)
改革	かいかく	cải cách
殺す	ころす	giết (殺される - bị giết)
批判	ひはん	phê bình, chỉ trích, phê phán (cả tích cực và tiêu cực)
共同	きょうどう	sự hợp tác chung, đồ chung (bếp chung, nhà chung)
共有	きょうゆう	chia sẻ (cho mng, thông tin cho mng biết)
共通	きょうつう	dùng chung, làm chung (giống 同じ) = 共同
予想	よそう	dự đoán (dựa vào suy nghĩ)
予測	よそく	dự đoán (dựa vào dữ liệu)
誤解を招く	ごかいをまねく	gây ra sự hiểu lầm (nghĩa tiêu cực)
天気	てんき	thời tiết (ngay thời điểm nói, ngày nói)
天候	てんこう	thời tiết (tuần, tháng)
気候	きこう	khí hậu (mùa)
仕組み	しくみ	cấu tạo, cơ chế (của máy móc, cơ thể, doanh nghiệp)
呑気	のんき	vô tư, vô lo (nghĩa tiêu cực, chê trách)
倹約	けんやく	tiết kiệm tiền (= 節約 - せつやく)
拒む		こばむ từ chối (= 断る - ことわる = 拒否 - きょひ)
防犯	ぼうはん	chống tội phạm
防火		ぼうか chống cháy
装置		そうち thiết bị (nói đến 1 vật cụ thể, máy báo cháy, vật đơn lẻ)
医療機関	いりょうきかん	cơ quan y tế
方針	ほうしん	phương châm (cơ quan, đoàn thể, tổ chức, công ty, đất nước)
イベント		sự kiện (không tổ chức thường niên)
設備	せつび	trang bị, cơ sở (cả hệ thống)
建設	けんせつ	xây dựng, kiến thiết
印刷	いんさつ	in ấn (=プリント) in theo set thì 1分,  2分
貨物	かもつ	hàng hóa (trong logistic)
延長	えんちょう	kéo dài (đã bắt đầu rồi bị kéo dài ra)
延期	えんき	trì hoãn (trước khi bắt đầu)
機嫌	きげん	tâm trạng (thường đi với ご機嫌, 機嫌が良い, 機嫌が悪い)
規制	きせい	quy định (phạm vi lớn, xã hội, địa phương, trong pháp luật)
規則	きそく	quy tắc (trong công ty, tổ chức =ルール)
皮膚	ひふ	da (dùng cho văn cứng)
熱演	ねつえん	diễn xuất nhập tâm
構造	こうぞう	cấu tạo của cty, của cơ thể (組織 - そしき - cấu trúc cty, 仕組み - cấu trúc của team)
構築		こうちくcấu trúc, xây dựng (của hệ thống, build)
就職	しゅうしょく	tìm việc
警備	けいび	cảnh vệ (警備員)
賃貸	ちんたい	cho thuê (=レンタル)
差別	さべつ	phân biệt đối xử (phân biệt chủng tộc)
ライバル		(công ty) đối thủ
豊かな	ゆたか	phong phú (=豊富-ほうふ)
未熟		みじゅく non, xanh, chưa chín, kiến thức còn chưa thành thạo
壁を超える	かべをこえる	vượt rào cản
感覚	かんかく	cảm giác = 気分
余裕	よゆう	dư, thong thả (thời gian, tiền bạc)
低下	suy giảm <> 向上	tăng lên
見事	みごと	vẻ đẹp, điêu luyện, thời tiết đẹp (trong lời khen, tán dương = 上手に)
休養	きゅうよう	nghỉ ngơi dưỡng bệnh
処分	しょぶん	xử lý (rác), xử phạt
設定	せってい	cài đặt/ thiết lập phần mềm, thiết bị, mục tiêu
設置	せっち	lắp đặt (gia dụng, vật dụng)
後日改めて	ごじつあらためて	ngày hôm sau sẽ làm lại 1 lần nữa (gọi lại)
作業	さぎょう	công việc (tay chân)
天然	てんねん	thiên nhiên
人工	じんこう	nhân tạo
人工知能	じんこうちのう	trí tuệ nhân tạo
重視	じゅうし	xem trọng
軽視	けいし	xem nhẹ
巡る	めぐる	xoay quanh (vấn đề)
つい		bất chợt (=思わず)
熱中	ねっちゅう	say mê (tích cực)
夢中	むちゅう	say mê (hơi tiêu cực, nghiện)
災い	わざわい	họa
真夜中		まよなか nửa đêm
実施	じっし	triển khai (sự kiện, hành động của tổ chức theo kế hoạc đặt sẵn)
実行	じっこう	thực hiện (hành động của cá nhân)
著者	ちょしゃ	tác giả, nhà văn (=筆者)
作家	さっか	nhà văn chuyên nghiệp
患者		かんじゃ bệnh nhân
批評家	ひひょうか	nhà phê bình
開設	かいせつ	mở (tài khoản ngân hàng 銀行口座を開設する)
製造	せいぞう	chế tạo (máy móc lớn, xe, máy bay,...)
制作	せいさく	chế tác(vật nhỏ, bu lông, ốc vít, đồ gỗ)
思い込み	おもいこみ	lầm tưởng, định kiến
能率	のうりつ	năng suất (công việc)
反抗期	はんこうき	tuổi nổi loạn
無駄遣い	むだづかい	sử dụng lãng phí
休暇	きゅうか	ngày nghỉ có phép (trong công ty)
を+眺める	ながめる	ngắm nhìn
眺めがいい	ながめがいい	cảnh đẹp
感心する	かんしんする	ngưỡng mộ (cảm động)
あこがれ		ngưỡng mộ (ao ước)
関心する	関心する	quan tâm
発揮	はっき	phát huy (= 活かす)
尽きる	つきる	cạn kiệt (力が尽きる - cạn kiệt sức lực, 話が尽きない - nói không hết chuyện)
倒産	とうさん	phá sản
を+保つ	たもつ	bảo vệ, duy trì
終日	しゅうじつ = 一日中	suốt cả ngày
忠実	ちゅうじつ	trung thực
偉大	いだい	vĩ đại
偉い		えらい siêu (dùng trong lời khen)
解除	かいじょ	mở khóa
声明		せいめい công bố (声明を発表)
進行	しんこう	tiến độ (trung lập, có thể tích cực và tiêu cực)
空室	くうしつ	phòng trống
うつむく		cúi mặt xuống (xấu hổ =下へ向いて)
うなずく		gật đầu (đồng ý)
躓く	つまずく	vấp ngã
つぶす		đập dẹp, phá sản, giết thời gian
生じる	しょうじる	phát sinh (điều tiêu cực, lỗi, vấn đề) = 発生する
至る	いたる	đạt được, cho đến (thời điểm hiện tại)
省く	はぶく	lược bớt (thời gian, công sức)
捉える	とらえる	nắm bắt (cơ hội)
捕らえる	とらえる	bắt (người, trộm, hữu hình)
訪ねる	たずねる	thăm (người)
訪れる	おとずれる	thăm (người, địa điểm)
訪問する	ほうもんする	chuyến thăm (của lãnh đạo)
扱う	あつかう	thao tác (với đồ vật), xử lý, bán (đồ), đối phó, giải quyết
就く	つく	nhậm (chức vụ, vị trí)
恵まれる	めぐまれる	được ban cho, độ cho (thần ban cho)
大したものですね		lời khen (ngưỡng mộ = お見事ですね = 素晴らしいですね)
いじる		chạm, nghịch
協調性		tính đồng thuận (nghe theo số đông)
揃う	そろう	tập trung, làm cho đồng nhất
抱える	かかえる	ôm (vấn đề, công việc, vật)
勤める	つとめる	làm việc (tại cty)
務める	つとめる	đảm đương (nhiệm vụ cụ thể)
ふりをする		giả vờ
けなす		chế giểu, mỉa mai
築く	きずく	xây dựng (tổ ấm, cơ ngơi, mối quan hệ, niềm tin, nghĩa bóng)
依頼すみ	いらいすみ	đã nhờ vả (ng khác) xong
報じる	ほうじる	thông báo (qua đài phát thanh)
済ます	すます	hoàn tất (công việc, ngữ pháp)
~で済む		làm ... cũng xong
怠け者	なまけもの	ng làm biếng, con lười
貢献する	こうけんする	cống hiến
備える	そなえる	chuẩn bị (cho tương lai, cho thiên tai)
諦める	あきらめる	từ bỏ (điều muốn làm nhưng từ bỏ)
辞める	やめる	từ bỏ (cả việc muốn và không muốn)
あきれる		ngạc nhiên (có sự thất vọng)
驚く	おどろく	ngạc nhiên (nói về sự bất ngờ)
寛ぐ	くつろぐ	nghỉ ngơi, thư giản
与える	あたえる	cho, cấp (đồ ăn, học bổng)
補う	おぎなう	bổ sung, đền bù
捕捉	ほそく	bổ sung cho thuyết minh
補充	ほじゅう	bổ sung nhân viên, mực in, giấy in
控える	ひかえる	kiềm chế, hạn chế (hút thuốc, uống rượu), đứng ở phía sau (người, sân khấu), chuẩn bị, sắp (lễ, sự kiện)
儲ける	もうける	kiếm lời, có con
怪しい	あやしい	đáng ngờ
...とは限らない		không hẵn (phủ định 1 phần)
改める	あらためる	làm lại, sửa đổi, cải thiện (hôm sau tôi sẽ trao đổi lại)
触れる	ふれる	chạm, tiếp xúc (thứ trừu tượng, văn hóa, sự việc)
破れる	やぶれる	phá, rách
敗北	はいぼく	thắng (văn phong lịch sự)
雇う	やとう	tuyển dụng (chỉ đi với người)
防止	ぼうし	đề phòng
重ねる	かさねる	thu lại kết quả (trải qua rất nhiều đau khổ, thử thách)
尋ねる	たずねる	hỏi (= 聞きます)
焦げる	こげる	cháy (đồ ăn)
認める	みとめる	thừa nhận, công nhận
測る	はかる	đo (dùng cho mọi bối cảnh)
計る	はかる	đo (thời gian, đếm số lượng)
量る	はかる	đo (khối lượng)
図る	はかる	lập kế hoạch
荒れる	あれる	động (biển, sóng), hỗn loạn, nứt nẻ (da)
攻める	せめる	tấn công, công kịch
避ける	さける	tránh né (ánh mặt trời, người, ánh nhìn, cả trừu tượng, tránh phát ngôn)
すれ違う	すれちがう	đi ngang qua nhau, bất đồng ý kiến
ためらう		lưỡng lự, đắn đo
かじる		cắn, gặm, học sơ sơ qua
掴む	つかむ	có trong tay, có cơ hội, nắm bắt tâm lý
ひっくり返す		lật lại (lật mặt, lật bánh)
裏切る	うらぎる	phản bội, đi ngược lại kì vọng
ふざける		đùa cợt
慰める	なぐさめる	an ủi (1 ai đó gặp thất bại, thất tình)
恨む	うらむ	ghét, căm phẫn
悔やむ	くやむ	hối hận, hối tiếc
飛びつく		lao đầu vào (nghĩa tiêu cực)
駆け込む	かけこむ	chạy lao vào (tàu chuẩn bị chạy)
思いつく		nãy ra, nghĩ ra (ý tưởng)
受け入れる		tiếp nhận (người, ý kiến - có tính chất thụ động)
取り入れる		đưa vào, áp dụng (chủ động)
盛り上がる		làm sôi nổi
打ち消す		phủ định, xóa bỏ (lời đồn)
打ち明ける		giải bày, hé lộ (秘密、悩み、過ち - lỗi lầm, sai lầm)
打ち合わせる		cuộc họp nhỏ (chuẩn bị cho việc SẮP DIỄN RA)
打ち上げる		bắn pháo hoa
除く	のぞく	loại bỏ (vật không tốt, có hại), ngoài ra
取り除く		loại bỏ (lấy ra để loại bỏ)
用いる		もちいる dùng, sử dụng (nhóm 2, dùng business)
耐える	たえる	cam chịu, chịu (động đất)
訴える	うったえる	kiện, khiếu nại, kêu ca, tác động (tâm lý, tâm tư)
負う	おう	đảm nhận, gánh vác, bị thương
借金	しゃっきん	tiền vay
脅かす	おどかす	hù (làm cho giật mình, không phải đe dọa) nếu đọc là おびやかす - đe dọa (trong bối cảnh nghiêm trọng)
薄める	うすめる	làm nhạt
求める	もとめる	yêu cầu
ずれる		bị trật, lệch (đường ray, cút áo), lệch lạc (quy chuẩn)
頼る	たよる	phụ thuộc, dựa dẫm, nhờ vã
捻る	ひねる	vặn, xoay (vòi nước, mắt cá chân), (câu hỏi) đánh đố
静まる	しずまる	lắng xuống (lớp trở nên yên lặng)
転がる		lăn lông lốc, lăn qua lại trên giường, (chuyện) ở đâu cũng có
味わう	あじわう	nếm đồ ăn, nếm qua sự đời, trải nghiệm
設ける	もうける	tạo ra, thiết lập (tiêu chuẩn, quy chuẩn), trang bị, chuẩn bị (hội trường, cơ hội, thời gian)
震える	ふるえる	rung lắc (sợ, tòa nhà rung)
ぶるぶる震える		run lẩy bẩy
誓う	ちかう	thề, ước
むかつく		bực bội, khó chịu (=怒る - おこる)
頭にくる		giận (= 腹が立つ - giận)
仕上げる	完成する	hoàn thành (=終える)
負債	ふさい	khoản nợ
ああだこうだ		nói lung tung
投影	とうえい	quy chụp
それより = そのより = なんにより		hơn tất cả, hơn hết (trong bài nghe, thường nội dung phía sau sẽ là đáp án đúng)
(に)相応しい	ふさわしい	(ai đó) thích hợp, phù hợp (với việc)
わがまま		ích kỉ (= 勝手 - かって )
心強い	こころづよい	vững tâm
質素	しっそ	(cuộc sống 生活) đạm bạc
慌ただしい	あわただしい	(công việc) bận tối mắt tối mũi
物足りない	ものたりない	thiếu thiếu, không đủ (cảm giác không vừa lòng)
騒々しい	そうぞうしい	ồn ào = うるさい = やかましい
やかましい		ồn ào, khó tính (thường đi với âm thanh)
そそっかしい		hấp tấp, hậu đậu (dùng dể chê bai, tính cách)
厚かましい	あつかましい	mặt dày = ずうずうしい
深刻	しんこく	nghiêm trọng,  (thường đi với トラブル, 問題, 悩み)
合同	ごうどう	hợp sức, kết hợp (cùng làm)
乏しい	とぼしい	nghèo (về dinh dưỡng, tài nguyên, kinh nghiệm)
貧しい	まずしい	nghèo (về kinh tế)
重苦しい	おもくるしい	nặng nề (bầu không khí)
痛ましい		いたましい đau (vết thương, buồn)
差し支える	さしつかえる	vướng, gây phiền (gây cản trở cho công việc =問題 / 差し支えない - không phiền = かまわない)
たくましい		(vóc dáng) lực lưỡng, mạnh mẽ, (sống) lạc quan たくましい生く
穏やか	おだやか	(thời tiết) ôn hòa, (người) điềm đạm
緩やか	ゆるやか	(dốc) thoải, (môi trường làm việc) thoải mái
哀れ	あわれ	đáng thương = かわいそうな
だらしない		vô trách nhiệm, cẩu thả, bừa bộn (cuộc sống)
騒がしい	さわがしい	ồn ào =うるさい
くだらない		không có giá trị (=値段がない)
頭に来る		nổi giận = 腹が立つ
頑丈	がんじょう	bền (đồ vật)
順調	じゅんちょう	thuận lợi (công việc, kế hoạch)
柔軟	じゅうなん	linh hoạt, mềm mại (nghĩa bóng - vận động, suy nghĩ, ứng biến)
安易	あんい	dễ dàng, dễ dãi (dễ tin)
手軽	てがる	đơn giản (không tốn sức, không cồng kềnh)
気軽	きがる	thoải mái (thoải mái phát biểu, không cần nghĩ ngợi)
でたらめ	bừa (khoanh bừa) うそをつく	nói dối
